Tipo;Produto;Un. Med.;Operação;Est. Anterior;Qtd.;E/S;Est. Final;Usuário;Data e Hora;Observações
Insumo;CEBOLA;kg;Saída;0,902;-0,005;Saída;0,897;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;MOLHO TOMATE;kg;Saída;-4,45;-0,045;Saída;-4,495;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;MASSA PIZZA;kg;Saída;-25,495;-0,22;Saída;-25,715;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;SACO BOBINA;UN;Saída;-67;-0,5;Saída;-67,5;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;CAIXA GIGANTE;UN;Saída;12,5;-0,5;Saída;12;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;MASSA PIZZA;kg;Saída;-25,475;-0,02;Saída;-25,495;Eduarda;15/10/2023 19:04;Venda de DOCE DE LEITE do pedido 73
Insumo;DOCE DE LEITE;kg;Saída;-0,16;-0,02;Saída;-0,18;Eduarda;15/10/2023 19:04;Venda de DOCE DE LEITE do pedido 73
Insumo;CHOCOLATE BRANCO;kg;Saída;0,39;-0,06;Saída;0,33;Eduarda;15/10/2023 19:04;Venda de CHOCOLATE BRANCO do pedido 73
Insumo;MASSA PIZZA;kg;Saída;-25,375;-0,1;Saída;-25,475;Eduarda;15/10/2023 19:04;Venda de CHOCOLATE BRANCO do pedido 73
Insumo;CHOCOLATE AO LEITE;kg;Saída;1,074;-0,06;Saída;1,014;Eduarda;15/10/2023 19:04;Venda de CHOCOLATE AO LEITE do pedido 73
Insumo;MASSA PIZZA;kg;Saída;-25,275;-0,1;Saída;-25,375;Eduarda;15/10/2023 19:04;Venda de CHOCOLATE AO LEITE do pedido 73
Insumo;MUSSARELA;kg;Saída;4,046;-0,155;Saída;3,891;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;CREAME CHEESE;kg;Saída;1,09;-0,03;Saída;1,06;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;PEITO DE PERU;kg;Saída;-0,156;-0,06;Saída;-0,216;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;ORÉGANO;kg;Saída;0,0115;-0,0005;Saída;0,011;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;MOLHO TOMATE;kg;Saída;-4,405;-0,045;Saída;-4,45;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;MASSA PIZZA;kg;Saída;-25,055;-0,22;Saída;-25,275;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;SACO BOBINA;UN;Saída;-66,5;-0,5;Saída;-67;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;CAIXA GIGANTE;UN;Saída;13;-0,5;Saída;12,5;Eduarda;15/10/2023 19:00;Venda de 1/2 PEITO DE PERU C/ CREAM CHEESE do pedido 73
Insumo;MUSSARELA;kg;Saída;4,201;-0,155;Saída;4,046;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;GORGONZOLA;kg;Saída;-0,024;-0,01;Saída;-0,034;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;ORÉGANO;kg;Saída;0,012;-0,0005;Saída;0,0115;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;MOLHO TOMATE;kg;Saída;-4,36;-0,045;Saída;-4,405;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;MASSA PIZZA;kg;Saída;-24,835;-0,22;Saída;-25,055;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;MISTURA 4 QUEIJOS;kg;Saída;-0,805;-0,05;Saída;-0,855;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;SACO BOBINA;UN;Saída;-66;-0,5;Saída;-66,5;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;CAIXA GIGANTE;UN;Saída;13,5;-0,5;Saída;13;Eduarda;15/10/2023 19:00;Venda de 1/2 4 QUEIJOS do pedido 73
Insumo;MUSSARELA;kg;Saída;4,511;-0,31;Saída;4,201;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;AZEITONA PRETA;kg;Saída;0,16;-0,015;Saída;0,145;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;PRESUNTO;kg;Saída;-0,015;-0,05;Saída;-0,065;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;LINGUIÇA CALABRESA;kg;Saída;1,318;-0,06;Saída;1,258;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;CEBOLA ROXA;kg;Saída;0,1855;-0,01;Saída;0,1755;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;ORÉGANO;kg;Saída;0,013;-0,001;Saída;0,012;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;CEBOLA;kg;Saída;0,917;-0,015;Saída;0,902;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;PIMENTÃO;kg;Saída;0,222;-0,015;Saída;0,207;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;MOLHO TOMATE;kg;Saída;-4,27;-0,09;Saída;-4,36;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;MASSA PIZZA;kg;Saída;-24,395;-0,44;Saída;-24,835;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;SACO BOBINA;UN;Saída;-65;-1;Saída;-66;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;CAIXA GIGANTE;UN;Saída;14,5;-1;Saída;13,5;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;OVO;UN;Saída;-30;-2;Saída;-32;Eduarda;15/10/2023 19:00;Venda de PIZZA PORTUGUESA GIGANTE do pedido 73
Insumo;MUSSARELA;kg;Saída;4,821;-0,31;Saída;4,511;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;TOMATE SALADA;kg;Saída;1,7085;-0,03;Saída;1,6785;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;ORÉGANO;kg;Saída;0,014;-0,001;Saída;0,013;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;MOLHO TOMATE;kg;Saída;-4,18;-0,09;Saída;-4,27;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;MASSA PIZZA;kg;Saída;-23,955;-0,44;Saída;-24,395;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;SACO BOBINA;UN;Saída;-64;-1;Saída;-65;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;CAIXA GIGANTE;UN;Saída;15,5;-1;Saída;14,5;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;MANJERICÃO FRESCO;kg;Saída;-0,005;-0,001;Saída;-0,006;Eduarda;15/10/2023 19:00;Venda de PIZZA MARGUERITA GIGANTE do pedido 73
Insumo;SAL;kg;Saída;1,608;-0,05;Saída;1,558;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;ALHO;kg;Saída;0,225;-0,024;Saída;0,201;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;CEBOLA;kg;Saída;1,193;-0,276;Saída;0,917;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;FRANGO DESFIADO;kg;Saída;1,477;-1,477;Saída;0;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;PÁPRICA DEFUMADA;kg;Saída;0;-0,014;Saída;-0,014;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;PIMENTA DO REINO;kg;Saída;0,012;-0,005;Saída;0,007;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;CURRY;kg;Saída;0;-0,006;Saída;-0,006;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;MOSTARDA PÓ;kg;Saída;0;-0,014;Saída;-0,014;Eduarda;15/10/2023 18:48;Venda de PROD. FRANGO DESFIADO do pedido 69
Insumo;ÓLEO;l;Saída;1,32;-1,12;Saída;0,2;Eduarda;15/10/2023 18:40;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FARINHA;kg;Saída;27,6;-17,36;Saída;10,24;Eduarda;15/10/2023 18:40;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;SAL;kg;Saída;1,804;-0,196;Saída;1,608;Eduarda;15/10/2023 18:40;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;AÇÚCAR;kg;Saída;1,566;-0,7;Saída;0,866;Eduarda;15/10/2023 18:40;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FERMENTO ;kg;Saída;-0,02;-0,028;Saída;-0,048;Eduarda;15/10/2023 18:40;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;ÓLEO;l;Devolução;0,16;1,16;Entrada;1,32;Eduarda;15/10/2023 18:40;Alteração da quantidade do item: 29 -> 28
Insumo;FARINHA;kg;Devolução;9,62;17,98;Entrada;27,6;Eduarda;15/10/2023 18:40;Alteração da quantidade do item: 29 -> 28
Insumo;SAL;kg;Devolução;1,601;0,203;Entrada;1,804;Eduarda;15/10/2023 18:40;Alteração da quantidade do item: 29 -> 28
Insumo;AÇÚCAR;kg;Devolução;0,841;0,725;Entrada;1,566;Eduarda;15/10/2023 18:40;Alteração da quantidade do item: 29 -> 28
Insumo;FERMENTO ;kg;Devolução;-0,049;0,029;Entrada;-0,02;Eduarda;15/10/2023 18:40;Alteração da quantidade do item: 29 -> 28
Insumo;ÓLEO;l;Saída;1,32;-1,16;Saída;0,16;Eduarda;15/10/2023 18:39;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FARINHA;kg;Saída;27,6;-17,98;Saída;9,62;Eduarda;15/10/2023 18:39;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;SAL;kg;Saída;1,804;-0,203;Saída;1,601;Eduarda;15/10/2023 18:39;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;AÇÚCAR;kg;Saída;1,566;-0,725;Saída;0,841;Eduarda;15/10/2023 18:39;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FERMENTO ;kg;Saída;-0,02;-0,029;Saída;-0,049;Eduarda;15/10/2023 18:39;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;ÓLEO;l;Devolução;0,12;1,2;Entrada;1,32;Eduarda;15/10/2023 18:39;Alteração da quantidade do item: 30 -> 29
Insumo;FARINHA;kg;Devolução;9;18,6;Entrada;27,6;Eduarda;15/10/2023 18:39;Alteração da quantidade do item: 30 -> 29
Insumo;SAL;kg;Devolução;1,594;0,21;Entrada;1,804;Eduarda;15/10/2023 18:39;Alteração da quantidade do item: 30 -> 29
Insumo;AÇÚCAR;kg;Devolução;0,816;0,75;Entrada;1,566;Eduarda;15/10/2023 18:39;Alteração da quantidade do item: 30 -> 29
Insumo;FERMENTO ;kg;Devolução;-0,05;0,03;Entrada;-0,02;Eduarda;15/10/2023 18:39;Alteração da quantidade do item: 30 -> 29
Insumo;ÓLEO;l;Saída;1,32;-1,2;Saída;0,12;Eduarda;15/10/2023 18:36;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FARINHA;kg;Saída;27,6;-18,6;Saída;9;Eduarda;15/10/2023 18:36;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;SAL;kg;Saída;1,804;-0,21;Saída;1,594;Eduarda;15/10/2023 18:36;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;AÇÚCAR;kg;Saída;1,566;-0,75;Saída;0,816;Eduarda;15/10/2023 18:36;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FERMENTO ;kg;Saída;-0,02;-0,03;Saída;-0,05;Eduarda;15/10/2023 18:36;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;ÓLEO;l;Saída;2,12;-0,8;Saída;1,32;Eduarda;15/10/2023 18:28;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FARINHA;kg;Saída;40;-12,4;Saída;27,6;Eduarda;15/10/2023 18:28;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;SAL;kg;Saída;1,944;-0,14;Saída;1,804;Eduarda;15/10/2023 18:28;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;AÇÚCAR;kg;Saída;2,066;-0,5;Saída;1,566;Eduarda;15/10/2023 18:28;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;FERMENTO ;kg;Saída;0;-0,02;Saída;-0,02;Eduarda;15/10/2023 18:28;Venda de PROD. MASSA PIZZA do pedido 69
Insumo;MUSSARELA;kg;Saída;5,001;-0,18;Saída;4,821;Eduarda;15/10/2023 18:24;Venda de PIZZA MUSSARELA  GRANDE do pedido 68
Insumo;ORÉGANO;kg;Saída;0,015;-0,001;Saída;0,014;Eduarda;15/10/2023 18:24;Venda de PIZZA MUSSARELA  GRANDE do pedido 68
Insumo;MOLHO TOMATE;kg;Saída;-4,14;-0,04;Saída;-4,18;Eduarda;15/10/2023 18:24;Venda de PIZZA MUSSARELA  GRANDE do pedido 68
Insumo;MASSA PIZZA;kg;Saída;-23,695;-0,26;Saída;-23,955;Eduarda;15/10/2023 18:24;Venda de PIZZA MUSSARELA  GRANDE do pedido 68
Insumo;SACO BOBINA;UN;Saída;-63;-1;Saída;-64;Eduarda;15/10/2023 18:24;Venda de PIZZA MUSSARELA  GRANDE do pedido 68
Insumo;CAIXA GRANDE;UN;Saída;19,5;-1;Saída;18,5;Eduarda;15/10/2023 18:24;Venda de PIZZA MUSSARELA  GRANDE do pedido 68
Insumo;MUSSARELA;kg;Saída;5,111;-0,11;Saída;5,001;Eduarda;14/10/2023 21:05;Venda de PIZZA CALABRESA BROTINHO do pedido 67
Insumo;LINGUIÇA CALABRESA;kg;Saída;1,478;-0,16;Saída;1,318;Eduarda;14/10/2023 21:05;Venda de PIZZA CALABRESA BROTINHO do pedido 67
Insumo;ORÉGANO;kg;Saída;0,016;-0,001;Saída;0,015;Eduarda;14/10/2023 21:05;Venda de PIZZA CALABRESA BROTINHO do pedido 67
Insumo;MOLHO TOMATE;kg;Saída;-4,12;-0,02;Saída;-4,14;Eduarda;14/10/2023 21:05;Venda de PIZZA CALABRESA BROTINHO do pedido 67
Insumo;MASSA PIZZA;kg;Saída;-23,525;-0,17;Saída;-23,695;Eduarda;14/10/2023 21:05;Venda de PIZZA CALABRESA BROTINHO do pedido 67
Insumo;MUSSARELA;kg;Saída;5,291;-0,18;Saída;5,111;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;TOMATE SALADA;kg;Saída;1,7235;-0,015;Saída;1,7085;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;ORÉGANO;kg;Saída;0,017;-0,001;Saída;0,016;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;MOLHO TOMATE;kg;Saída;-4,08;-0,04;Saída;-4,12;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;MASSA PIZZA;kg;Saída;-23,265;-0,26;Saída;-23,525;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;SACO BOBINA;UN;Saída;-62;-1;Saída;-63;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;CAIXA GRANDE;UN;Saída;20,5;-1;Saída;19,5;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;MANJERICÃO FRESCO;kg;Saída;-0,004;-0,001;Saída;-0,005;Eduarda;14/10/2023 21:05;Venda de PIZZA MARGUERITA GRANDE do pedido 67
Insumo;MUSSARELA;kg;Saída;5,471;-0,18;Saída;5,291;Eduarda;14/10/2023 19:40;Venda de PIZZA PORTUGUESA GRANDE do pedido 65
Insumo;AZEITONA PRETA;kg;Saída;0,17;-0,01;Saída;0,16;Eduarda;14/10/2023 19:40;Venda de PIZZA PORTUGUESA GRANDE do pedido 65
Insumo;PRESUNTO;kg;Saída;0,015;-0,03;Saída;-0,015;Eduarda;14/10/2023 19:40;Venda de PIZZA PORTUGUESA GRANDE do pedido 65
Insumo;LINGUIÇA CALABRESA;kg;Saída;1,518;-0,04;Saída;1,478;Eduarda;14/10/2023 19:40;Venda de PIZZA PORTUGUESA GRANDE do pedido 65
